name,image
amazon,/images/sponsors/amazon.png
arista,/images/sponsors/arista.png
bloomberg,/images/sponsors/bloomberg.png
boeing,/images/sponsors/boeing.png
collins_aerospace,/images/sponsors/collins_aerospace.png
costar,/images/sponsors/costar.png
cse_ucsd,/images/sponsors/cse_ucsd.png
general_atomics,/images/sponsors/general_atomics.png
google,/images/sponsors/google.png
idea,/images/sponsors/idea.png
intuit,/images/sponsors/intuit.png
jane_street,/images/sponsors/jane_street.png
leidos,/images/sponsors/leidos.png
lockheed_martin,/images/sponsors/lockheed_martin.png
meta,/images/sponsors/meta.png
northrop_grumman,/images/sponsors/northrop_grumman.png
one_vigor,/images/sponsors/one_vigor.png
roblox,/images/sponsors/roblox.png
salesforce,/images/sponsors/salesforce.png
service_now,/images/sponsors/service_now.png
twilio,/images/sponsors/twilio.png
visa,/images/sponsors/visa.png
